epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
56,2788.01,1.62741,1.19451,0.01244,0.65095,0.47044,0.51298,0.29145,1.43632,0.90259,0.01881,0.0010925,0.0010925,0.0010925
57,2897.43,1.60177,1.17392,0.01245,0.6782,0.48885,0.54566,0.31554,1.37933,0.83282,0.01762,0.001076,0.001076,0.001076
58,2990.45,1.55591,1.16053,0.01242,0.64028,0.48553,0.53484,0.30734,1.39701,0.89144,0.01851,0.0010595,0.0010595,0.0010595
59,3093.45,1.57779,1.16252,0.01267,0.64248,0.45455,0.50439,0.28876,1.45029,0.92355,0.01891,0.001043,0.001043,0.001043
60,3215.23,1.55375,1.1225,0.0128,0.65613,0.48634,0.53525,0.30913,1.39708,0.86852,0.01794,0.0010265,0.0010265,0.0010265
61,100.824,1.57648,1.17345,0.01222,0.68089,0.46555,0.52877,0.30297,1.38703,0.887,0.01747,0.00101,0.00101,0.00101
62,181.196,1.52291,1.111,0.01239,0.67499,0.48145,0.54002,0.3154,1.36529,0.86845,0.01754,0.0009935,0.0009935,0.0009935
63,258.847,1.58869,1.12987,0.01196,0.64635,0.49164,0.53751,0.31699,1.35885,0.87,0.01742,0.000977,0.000977,0.000977
64,337.392,1.52689,1.12507,0.01263,0.65862,0.47982,0.53886,0.31705,1.35743,0.89078,0.01719,0.0009605,0.0009605,0.0009605
65,421.554,1.5522,1.0856,0.01192,0.68454,0.49694,0.55843,0.32268,1.37782,0.84093,0.01767,0.000944,0.000944,0.000944
66,492.12,1.52098,1.10389,0.01188,0.65926,0.46456,0.51785,0.30598,1.3764,0.86067,0.01777,0.0009275,0.0009275,0.0009275
67,569.389,1.55077,1.1245,0.01173,0.67439,0.44232,0.50072,0.29208,1.38928,0.91316,0.01823,0.000911,0.000911,0.000911
68,652.769,1.56834,1.11262,0.01142,0.69728,0.4786,0.53789,0.31309,1.35773,0.83756,0.01724,0.0008945,0.0008945,0.0008945
69,737.08,1.55028,1.12215,0.01227,0.67513,0.49164,0.54923,0.32032,1.35194,0.86599,0.01718,0.000878,0.000878,0.000878
70,809.732,1.5373,1.11033,0.01174,0.64943,0.50876,0.55758,0.32553,1.36363,0.81103,0.01764,0.0008615,0.0008615,0.0008615
71,893.46,1.52736,1.08429,0.01126,0.66186,0.4786,0.53207,0.31277,1.37748,0.87872,0.01775,0.000845,0.000845,0.000845
72,982.419,1.5117,1.10145,0.01172,0.66849,0.49164,0.55193,0.31884,1.37805,0.85292,0.01761,0.0008285,0.0008285,0.0008285
73,1058.06,1.47715,1.04565,0.01197,0.66342,0.48308,0.5381,0.3149,1.35848,0.86651,0.0172,0.000812,0.000812,0.000812
74,1140.99,1.48812,1.09019,0.01219,0.68113,0.49572,0.55205,0.32685,1.34692,0.82638,0.01709,0.0007955,0.0007955,0.0007955
75,1232.17,1.47189,1.04931,0.01182,0.63706,0.48087,0.52327,0.30855,1.37389,0.88005,0.01756,0.000779,0.000779,0.000779
76,1320.42,1.46283,1.03541,0.01138,0.64447,0.48104,0.52574,0.31609,1.3452,0.85924,0.01711,0.0007625,0.0007625,0.0007625
77,1400.68,1.51519,1.07561,0.01126,0.67121,0.49124,0.54378,0.32329,1.33192,0.86168,0.01675,0.000746,0.000746,0.000746
78,1498.66,1.45283,1.03202,0.01154,0.67787,0.4786,0.54241,0.32353,1.31387,0.84134,0.01634,0.0007295,0.0007295,0.0007295
79,1594.49,1.50702,1.07545,0.01097,0.67311,0.51284,0.56149,0.33524,1.33648,0.79272,0.0167,0.000713,0.000713,0.000713
80,1691.96,1.50821,1.03392,0.01074,0.68756,0.51366,0.5644,0.33618,1.33463,0.80478,0.01694,0.0006965,0.0006965,0.0006965
81,1780.76,1.43657,1.01008,0.01163,0.67241,0.52222,0.57587,0.34372,1.31227,0.77298,0.01641,0.00068,0.00068,0.00068
82,1861.53,1.48581,1.05381,0.01114,0.67167,0.50387,0.55348,0.32988,1.32143,0.80293,0.01656,0.0006635,0.0006635,0.0006635
83,1944.22,1.48289,1.0235,0.01121,0.69419,0.49817,0.55538,0.33366,1.31332,0.82409,0.01659,0.000647,0.000647,0.000647
84,2018.89,1.44834,1.04201,0.01082,0.68034,0.49977,0.55243,0.33155,1.3187,0.80642,0.01661,0.0006305,0.0006305,0.0006305
85,2108.53,1.47116,1.02345,0.01104,0.68018,0.50673,0.55259,0.3329,1.31543,0.8207,0.01634,0.000614,0.000614,0.000614
86,2197.88,1.44178,1.01794,0.01102,0.66533,0.51203,0.55193,0.33525,1.30162,0.81654,0.01624,0.0005975,0.0005975,0.0005975
87,2291.37,1.46838,0.98605,0.01099,0.66289,0.50958,0.55023,0.33327,1.30885,0.79827,0.01646,0.000581,0.000581,0.000581
88,2394.96,1.45672,1.01024,0.01085,0.70052,0.51325,0.57586,0.34553,1.29456,0.76527,0.01616,0.0005645,0.0005645,0.0005645
89,2480.65,1.43782,0.98539,0.01114,0.65523,0.51599,0.56069,0.33538,1.31216,0.80838,0.01638,0.000548,0.000548,0.000548
90,2557.5,1.42268,0.97183,0.01086,0.66723,0.5166,0.56071,0.33441,1.31133,0.79575,0.01644,0.0005315,0.0005315,0.0005315
91,2634.16,1.46883,0.97379,0.01087,0.68701,0.53975,0.58143,0.34708,1.30537,0.74945,0.01657,0.000515,0.000515,0.000515
92,2711.88,1.38901,0.95491,0.011,0.68189,0.51773,0.56534,0.33936,1.32089,0.79558,0.01668,0.0004985,0.0004985,0.0004985
93,2790.94,1.43212,0.98294,0.01074,0.68848,0.52792,0.57305,0.34104,1.32084,0.78665,0.01696,0.000482,0.000482,0.000482
94,2871.54,1.40258,0.9612,0.01047,0.7021,0.49042,0.55273,0.32922,1.34385,0.8173,0.01679,0.0004655,0.0004655,0.0004655
95,2949.33,1.3987,0.95475,0.0104,0.6923,0.53649,0.58627,0.35098,1.30004,0.74548,0.01639,0.000449,0.000449,0.000449
96,3028.07,1.35923,0.92403,0.01047,0.69604,0.50632,0.56327,0.34215,1.31441,0.79625,0.01637,0.0004325,0.0004325,0.0004325
97,3108.27,1.39898,0.9394,0.01038,0.67874,0.52222,0.57026,0.3426,1.30448,0.78846,0.01605,0.000416,0.000416,0.000416
98,3189.45,1.42889,0.95947,0.00999,0.69151,0.5282,0.57949,0.34512,1.3183,0.76768,0.01621,0.0003995,0.0003995,0.0003995
99,3267.79,1.41238,0.93854,0.00997,0.69377,0.5172,0.57332,0.34403,1.31587,0.78171,0.01651,0.000383,0.000383,0.000383
100,3349.21,1.36979,0.92683,0.0101,0.70656,0.52018,0.57727,0.35172,1.3023,0.75657,0.01625,0.0003665,0.0003665,0.0003665
101,3427.65,1.3794,0.92555,0.01026,0.69621,0.53159,0.58328,0.35009,1.30811,0.76102,0.01646,0.00035,0.00035,0.00035
