epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1
61,5013.93,0.3361,0.26024,0.79989,0.94455,0.9323,0.97504,0.93361,0.26531,0.2428,0.78124,0.000118064,0.00236127
62,5095.52,0.33975,0.26183,0.79936,0.94449,0.93217,0.9751,0.93364,0.26515,0.2426,0.78115,0.000112972,0.00225945
63,5177.67,0.33717,0.25952,0.79866,0.94486,0.93238,0.97514,0.93362,0.26557,0.24215,0.78099,0.000107944,0.00215888
64,5259.5,0.33676,0.25976,0.79892,0.94647,0.93052,0.97519,0.93381,0.26449,0.24113,0.78061,0.000102984,0.00205967
65,5341.07,0.33586,0.25915,0.79845,0.94499,0.93195,0.97512,0.93385,0.26484,0.24134,0.78071,9.80961e-05,0.00196192
66,5422.98,0.33697,0.25908,0.79899,0.94552,0.93142,0.97511,0.93389,0.26461,0.24085,0.78064,9.32862e-05,0.00186572
67,5505.25,0.3339,0.25688,0.79908,0.94345,0.93285,0.97533,0.9342,0.26404,0.24107,0.7807,8.85586e-05,0.00177117
68,5586.65,0.33665,0.25794,0.79863,0.94589,0.93106,0.97538,0.93395,0.2645,0.24097,0.78049,8.3918e-05,0.00167836
69,5667.68,0.3348,0.25677,0.79878,0.94632,0.93143,0.97532,0.93425,0.26403,0.24132,0.78041,7.93691e-05,0.00158738
70,5748.95,0.33342,0.25592,0.7984,0.94611,0.93092,0.97535,0.93413,0.26401,0.24079,0.78025,7.49162e-05,0.00149832
71,5830.3,0.33346,0.25617,0.79806,0.94641,0.93101,0.97536,0.93426,0.26362,0.24134,0.7803,7.05639e-05,0.00141128
72,5913.13,0.33211,0.25501,0.79797,0.94589,0.93174,0.97542,0.93418,0.26368,0.24152,0.78028,6.63163e-05,0.00132633
73,5994.26,0.33308,0.25569,0.79797,0.94564,0.93205,0.97544,0.93427,0.26369,0.24123,0.78056,6.21777e-05,0.00124355
74,6075.61,0.33318,0.25561,0.79825,0.94479,0.93257,0.97539,0.93407,0.26398,0.24168,0.78069,5.81522e-05,0.00116304
75,6156.02,0.33327,0.25573,0.79848,0.94557,0.93197,0.97547,0.93442,0.26377,0.24108,0.7806,5.42438e-05,0.00108488
76,6238.19,0.33227,0.25472,0.79786,0.9462,0.93128,0.9754,0.93435,0.2638,0.24042,0.78043,5.04562e-05,0.00100912
77,6319.25,0.33152,0.2539,0.79738,0.94444,0.93288,0.97547,0.93439,0.26356,0.24017,0.78037,4.67933e-05,0.000935865
78,6400.16,0.33149,0.25439,0.79828,0.94525,0.93219,0.97547,0.9344,0.26285,0.23971,0.78046,4.32586e-05,0.000865172
79,6489.84,0.3318,0.25367,0.79817,0.94577,0.93222,0.9755,0.93445,0.26265,0.23985,0.78035,3.98556e-05,0.000797113
80,6587.7,0.33229,0.25376,0.79765,0.94672,0.93133,0.97548,0.93449,0.26274,0.24006,0.78049,3.65878e-05,0.000731756
81,6685.78,0.33204,0.25432,0.79836,0.94657,0.93149,0.97554,0.93427,0.26296,0.23993,0.78058,3.34583e-05,0.000669166
82,6783.47,0.33161,0.25334,0.7975,0.94568,0.93202,0.97546,0.93442,0.26287,0.2395,0.78031,3.04702e-05,0.000609404
83,6880.77,0.33238,0.25344,0.79796,0.94647,0.93127,0.97551,0.9346,0.26283,0.23943,0.78028,2.76264e-05,0.000552529
84,6978.75,0.33144,0.25361,0.79846,0.94574,0.93207,0.97552,0.93451,0.26272,0.23939,0.78019,2.49299e-05,0.000498597
85,7065.56,0.33,0.25181,0.79769,0.94557,0.93213,0.9755,0.93453,0.26231,0.23944,0.7801,2.23831e-05,0.000447662
86,7146.38,0.33072,0.25137,0.79721,0.94608,0.93177,0.9755,0.93456,0.26216,0.2391,0.78015,1.99887e-05,0.000399774
87,7236.09,0.33175,0.25326,0.79819,0.94633,0.93182,0.97556,0.93476,0.26229,0.23893,0.78017,1.7749e-05,0.00035498
88,7329.07,0.3309,0.25226,0.79769,0.94575,0.93227,0.97557,0.93491,0.26234,0.23911,0.7801,1.56662e-05,0.000313324
89,7411.74,0.33066,0.25238,0.79764,0.94534,0.93249,0.97553,0.93458,0.26241,0.23926,0.78006,1.37424e-05,0.000274848
90,7492.62,0.33122,0.25167,0.79782,0.94545,0.93242,0.97553,0.93482,0.26216,0.23882,0.78011,1.19795e-05,0.000239589
91,7591.63,0.30374,0.23747,0.78881,0.94557,0.93151,0.97541,0.93457,0.26279,0.24,0.78034,1.03791e-05,0.000207582
92,7672.63,0.3021,0.23647,0.78859,0.94448,0.93274,0.97576,0.93455,0.26339,0.2407,0.78052,8.94297e-06,0.000178859
93,7752.86,0.30127,0.23502,0.78895,0.94479,0.93254,0.97532,0.93449,0.26351,0.24075,0.78052,7.67242e-06,0.000153448
94,7833.2,0.30172,0.23459,0.78891,0.94473,0.93264,0.97532,0.93458,0.26345,0.24082,0.78046,6.56873e-06,0.000131375
95,7912.52,0.30147,0.23487,0.78867,0.94508,0.93223,0.97533,0.93449,0.26338,0.24074,0.78045,5.63299e-06,0.00011266
96,7992.62,0.30058,0.23474,0.7879,0.94467,0.93233,0.97534,0.93437,0.2633,0.24065,0.78037,4.86613e-06,9.73226e-05
97,8072.96,0.30051,0.23422,0.78825,0.94457,0.93224,0.97533,0.93455,0.2632,0.24051,0.78033,4.26889e-06,8.53778e-05
98,8153.2,0.29999,0.23345,0.78835,0.94438,0.9325,0.97533,0.93455,0.26307,0.24033,0.78034,3.84187e-06,7.68374e-05
99,8232.71,0.30081,0.2337,0.78825,0.94429,0.93272,0.97534,0.93446,0.26309,0.24029,0.78034,3.58549e-06,7.17098e-05
100,8312.42,0.29955,0.23321,0.78821,0.94463,0.93235,0.97534,0.93462,0.26293,0.24009,0.78032,3.5e-06,7e-05
