epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,9483.29,0.59783,0.42256,0.06945,0.92067,0.93009,0.96126,0.80944,0.20842,0.3356,0.03924,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9656.5,0.60346,0.42287,0.07041,0.92948,0.92139,0.95961,0.85048,0.16307,0.32787,0.03656,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9828.26,0.59902,0.42251,0.06952,0.90306,0.92562,0.95332,0.73955,0.26966,0.37161,0.04357,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10001.7,0.60468,0.41992,0.07775,0.92231,0.92846,0.95978,0.7404,0.27826,0.3678,0.04519,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10173.9,0.68535,0.41916,0.08822,0.92592,0.92689,0.96179,0.77878,0.23794,0.35337,0.0426,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10347.6,0.63025,0.42014,0.07227,0.92263,0.93085,0.95923,0.84869,0.16151,0.33128,0.03634,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10518.2,0.51632,0.41429,0.05847,0.93013,0.92841,0.96354,0.81839,0.20213,0.34226,0.03902,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10690.7,0.55601,0.42233,0.06368,0.92196,0.93284,0.96127,0.76148,0.25696,0.36147,0.04209,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10861.6,0.60554,0.42252,0.07002,0.92596,0.92961,0.95984,0.77552,0.24299,0.3591,0.04339,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11036.2,0.70676,0.4136,0.08595,0.8089,0.39751,0.49842,0.20815,0.95962,0.43027,0.12493,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11220.7,0.98343,0.39313,0.13996,0.7994,0.37096,0.48772,0.21188,0.89795,0.43907,0.12202,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11424.5,0.83937,0.41425,0.10294,0.86335,0.68418,0.77068,0.41804,0.62937,0.43279,0.08255,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11595.6,0.71,0.42181,0.08392,0.87236,0.68058,0.76859,0.3879,0.66912,0.4408,0.0805,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11768.4,0.82023,0.40867,0.11274,0.87245,0.70327,0.79508,0.4015,0.61952,0.46311,0.07832,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11939,0.45985,0.40244,0.05104,0.92813,0.93113,0.96301,0.79859,0.21892,0.35054,0.04002,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12113.8,0.50283,0.40592,0.05457,0.92503,0.93202,0.96167,0.77492,0.24099,0.36169,0.04127,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12290.8,0.51996,0.41168,0.05766,0.92377,0.93188,0.96056,0.73974,0.28023,0.375,0.04359,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12464.4,0.63777,0.40511,0.07273,0.9194,0.93357,0.95632,0.72436,0.29397,0.38769,0.04484,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12636.9,0.6017,0.42326,0.06443,0.91598,0.87475,0.91796,0.54754,0.48878,0.41884,0.06194,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12810.8,0.73808,0.39399,0.09788,0.90836,0.82002,0.8695,0.52734,0.50609,0.40964,0.06309,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12983,0.71655,0.40296,0.09095,0.8568,0.58742,0.70392,0.37145,0.67237,0.44218,0.08582,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13156.8,0.89575,0.39174,0.13189,0.83657,0.63305,0.72525,0.34532,0.71964,0.43785,0.0923,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13327.7,0.35643,0.38306,0.04292,0.9201,0.93135,0.9583,0.64059,0.38508,0.41333,0.05259,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,13500.8,0.36081,0.38039,0.04203,0.93147,0.93021,0.96683,0.84079,0.18075,0.32128,0.03673,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13671.3,0.33366,0.37227,0.03974,0.93563,0.92856,0.96869,0.89251,0.13174,0.28352,0.03323,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13846.2,0.32813,0.37013,0.03915,0.93828,0.92759,0.96929,0.9053,0.12087,0.27074,0.03216,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14020.9,0.31174,0.36304,0.03815,0.93924,0.92675,0.96995,0.91006,0.11763,0.26592,0.03178,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14195.6,0.30044,0.35905,0.03724,0.93912,0.92706,0.97071,0.90926,0.11918,0.26585,0.03159,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14368.2,0.30451,0.36127,0.03719,0.93932,0.92667,0.97093,0.90798,0.12141,0.26549,0.03198,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14540.5,0.30869,0.36568,0.03779,0.93902,0.92613,0.97034,0.87211,0.15552,0.2957,0.03434,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14712.5,0.5803,0.38148,0.07202,0.91602,0.92932,0.95892,0.70917,0.31406,0.38418,0.04583,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14884.5,0.95232,0.37958,0.15121,0.88726,0.9412,0.94579,0.78783,0.20228,0.38949,0.04153,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15058.3,0.33068,0.37247,0.03817,0.93563,0.92775,0.96529,0.85823,0.15559,0.31066,0.03508,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15229,0.25901,0.34146,0.03377,0.93865,0.92696,0.96905,0.89077,0.13157,0.28381,0.03289,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,15403.6,0.26498,0.34429,0.03512,0.93845,0.9267,0.96995,0.87684,0.14771,0.29337,0.03428,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15575.2,0.58051,0.38805,0.06969,0.91159,0.91583,0.93759,0.57873,0.44897,0.41876,0.05612,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15761.5,0.94159,0.35392,0.14665,0.86691,0.63022,0.70297,0.33729,0.74056,0.44124,0.08643,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15925.5,0.21669,0.32322,0.03105,0.91662,0.85793,0.8992,0.50267,0.53953,0.42854,0.06369,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16092.4,0.16969,0.28859,0.02842,0.93188,0.92296,0.95831,0.64342,0.38571,0.41464,0.05066,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,16257.2,0.17304,0.28995,0.02829,0.9385,0.92556,0.9683,0.74473,0.28388,0.38028,0.04312,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16425.8,0.15645,0.27584,0.02728,0.94167,0.92492,0.9711,0.80914,0.2204,0.34475,0.03865,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16589.9,0.14682,0.26638,0.02659,0.94394,0.92395,0.97267,0.85321,0.17873,0.31291,0.03603,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16756.9,0.13726,0.25713,0.02619,0.94426,0.92457,0.97355,0.8829,0.15216,0.28787,0.03453,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16920.5,0.13139,0.25113,0.02574,0.94536,0.92424,0.97402,0.90234,0.13486,0.26954,0.03348,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17086,0.12281,0.24129,0.02523,0.94567,0.92418,0.97442,0.9147,0.12412,0.25681,0.0329,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,17251.4,0.11719,0.23469,0.02486,0.9455,0.92431,0.97465,0.92218,0.11774,0.24872,0.03246,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
