epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,113941,0.3421,0.23815,0.00083,0.94655,0.93046,0.9766,0.95035,0.24909,0.23933,0.00108,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,115058,0.34146,0.23733,0.00082,0.9458,0.93104,0.97673,0.95014,0.24984,0.23939,0.00108,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,116769,0.33949,0.23676,0.00082,0.94474,0.93077,0.97638,0.95026,0.24878,0.24165,0.00108,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,118299,0.3368,0.23536,0.00082,0.94543,0.93124,0.97657,0.95026,0.24832,0.2406,0.00107,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,119804,0.33462,0.23689,0.0008,0.94468,0.93188,0.97664,0.95063,0.247,0.23994,0.00107,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,121231,0.33475,0.23687,0.00081,0.94681,0.93034,0.97669,0.95063,0.2474,0.23938,0.00107,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,122550,0.33263,0.23388,0.00081,0.94594,0.93127,0.97675,0.95059,0.24713,0.23897,0.00107,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,124215,0.33195,0.23207,0.0008,0.94659,0.93072,0.97683,0.95069,0.24654,0.23919,0.00107,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,125646,0.33013,0.23124,0.0008,0.94607,0.93135,0.97679,0.95075,0.24623,0.23985,0.00107,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,127023,0.32772,0.23013,0.00079,0.94706,0.93063,0.97683,0.95083,0.24632,0.23916,0.00107,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,129932,0.32621,0.22908,0.00079,0.94708,0.93102,0.97636,0.95057,0.24648,0.23975,0.00106,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,131187,0.32395,0.22883,0.00078,0.94536,0.93181,0.97635,0.95051,0.24674,0.23985,0.00106,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,132733,0.32271,0.22781,0.00078,0.94585,0.93186,0.97643,0.9506,0.24676,0.23968,0.00106,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,134055,0.32227,0.22749,0.00077,0.94563,0.93128,0.97626,0.95013,0.24673,0.24014,0.00106,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,135407,0.31942,0.22612,0.00077,0.94549,0.9306,0.97624,0.95059,0.24586,0.24078,0.00105,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,136663,0.31952,0.22631,0.00076,0.94487,0.93136,0.97615,0.95053,0.24591,0.24106,0.00105,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,138030,0.31797,0.22518,0.00076,0.94577,0.93001,0.97595,0.9501,0.24598,0.24284,0.00105,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,139279,0.3174,0.22458,0.00075,0.94554,0.9307,0.97588,0.95006,0.24574,0.2421,0.00106,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
