epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1
66,16653.1,0.35942,0.25839,0.78918,0.93363,0.93245,0.97245,0.92894,0.27923,0.23578,0.78073,0.000133266,0.00266532
67,16906.2,0.35925,0.25782,0.78907,0.93344,0.93273,0.97248,0.92908,0.279,0.23569,0.78069,0.000126512,0.00253024
68,17158.5,0.35898,0.25744,0.78933,0.93347,0.93274,0.97249,0.92909,0.27891,0.2356,0.78067,0.000119883,0.00239766
69,17410.5,0.35846,0.25718,0.78906,0.93351,0.9327,0.9725,0.92917,0.27864,0.23547,0.78063,0.000113384,0.00226769
70,17662.6,0.35714,0.25604,0.78893,0.93319,0.9331,0.97252,0.92933,0.27857,0.23525,0.78061,0.000107023,0.00214046
71,17915.5,0.35794,0.25693,0.78901,0.933,0.93334,0.97254,0.92936,0.27845,0.23506,0.78057,0.000100806,0.00201611
72,18167.9,0.35629,0.25526,0.78878,0.93306,0.93337,0.97256,0.92952,0.27813,0.23488,0.78054,9.47376e-05,0.00189475
73,18420.4,0.35668,0.25569,0.78895,0.93307,0.93335,0.97258,0.92957,0.27804,0.23478,0.78051,8.88253e-05,0.00177651
74,18673.1,0.35651,0.25543,0.78885,0.93283,0.9336,0.97259,0.92962,0.2779,0.23469,0.78049,8.30746e-05,0.00166149
75,18926.3,0.35694,0.25527,0.78889,0.93316,0.93333,0.97261,0.92966,0.27776,0.23452,0.78046,7.74911e-05,0.00154982
76,19178.1,0.35597,0.25488,0.78887,0.93329,0.93328,0.97262,0.92973,0.2776,0.23455,0.78043,7.20803e-05,0.00144161
77,19431.9,0.35621,0.25464,0.78846,0.93335,0.93326,0.97264,0.92974,0.27746,0.23445,0.78041,6.68475e-05,0.00133695
78,19684.1,0.35458,0.25445,0.78873,0.93341,0.93323,0.97265,0.92977,0.27739,0.23442,0.78039,6.1798e-05,0.00123596
79,19936.1,0.35569,0.25458,0.7886,0.93342,0.93326,0.97266,0.9298,0.27727,0.23424,0.78036,5.69366e-05,0.00113873
80,20188.1,0.35536,0.25419,0.78859,0.93354,0.9332,0.97268,0.92987,0.27701,0.2341,0.78034,5.22683e-05,0.00104537
81,20440.3,0.35474,0.25397,0.78846,0.93329,0.93345,0.97269,0.92988,0.27692,0.23402,0.78031,4.77976e-05,0.000955951
82,20693.1,0.35549,0.25402,0.78853,0.93337,0.93338,0.97271,0.92992,0.27679,0.23387,0.78029,4.35288e-05,0.000870577
83,20945.6,0.35361,0.25291,0.78834,0.93344,0.93338,0.97272,0.92993,0.27671,0.23386,0.78026,3.94663e-05,0.000789327
84,21198.4,0.3547,0.25339,0.78847,0.93351,0.93334,0.97274,0.92996,0.27664,0.23383,0.78024,3.56141e-05,0.000712282
85,21450.8,0.35398,0.253,0.78843,0.93357,0.93333,0.97275,0.92998,0.27661,0.23374,0.78023,3.19759e-05,0.000639518
86,21702.4,0.3538,0.25282,0.7883,0.9336,0.9333,0.97276,0.93012,0.27645,0.23356,0.7802,2.85553e-05,0.000571106
87,21955.6,0.35351,0.25287,0.78852,0.93368,0.93328,0.97277,0.93016,0.27625,0.2334,0.78017,2.53557e-05,0.000507115
88,22207.8,0.35353,0.25269,0.78844,0.93377,0.93326,0.97278,0.93019,0.27611,0.23316,0.78014,2.23803e-05,0.000447606
89,22459.4,0.35457,0.25303,0.78831,0.93375,0.93326,0.97279,0.93032,inf,0.23316,0.78012,1.9632e-05,0.00039264
90,22710.9,0.35283,0.25223,0.78839,0.93357,0.93346,0.97281,0.93037,0.27588,0.23312,0.7801,1.71135e-05,0.00034227
91,22972.9,0.31911,0.24082,0.78354,0.93366,0.93337,0.97282,0.93047,0.27584,0.2331,0.78009,1.48273e-05,0.000296546
92,23211.6,0.31675,0.23865,0.78329,0.93378,0.93328,0.97284,0.93052,inf,0.23309,0.78007,1.27757e-05,0.000255513
93,23449.9,0.31722,0.23843,0.78338,0.93388,0.93325,0.97284,0.93054,inf,0.23308,0.78006,1.09606e-05,0.000219212
94,23687.9,0.31716,0.2383,0.78332,0.93396,0.93321,0.97286,0.9306,0.2754,0.23288,0.78003,9.38391e-06,0.000187678
95,23925.7,0.31685,0.23785,0.78321,0.93375,0.93344,0.97287,0.93063,0.27535,0.23283,0.78001,8.04714e-06,0.000160943
96,24164.1,0.31607,0.23752,0.78341,0.93385,0.93336,0.97287,0.93063,0.27526,0.23259,0.77999,6.95161e-06,0.000139032
97,24402.2,0.31596,0.23732,0.78323,0.9339,0.93333,0.97288,0.93064,0.27525,0.23253,0.77998,6.09841e-06,0.000121968
98,24640.2,0.31624,0.23737,0.78322,0.93399,0.93332,0.97289,0.93071,0.27507,0.23246,0.77996,5.48838e-06,0.000109768
99,24878.9,0.31613,0.23719,0.7831,0.93401,0.93334,0.9729,0.93069,0.27508,0.23232,0.77995,5.12213e-06,0.000102443
100,25116.2,0.316,0.23704,0.78318,0.93382,0.93359,0.9729,0.93073,0.27493,0.23222,0.77994,5e-06,0.0001
